25/02/2008 0:20:14,HallBedroomDoor,None
25/02/2008 9:33:41,HallBedroomDoor,GoToBed
25/02/2008 9:33:47,HallBedroomDoor,GoToBed
25/02/2008 9:36:43,HallToiletDoor,None
25/02/2008 9:37:20,HallBathroomDoor,UseToilet
25/02/2008 9:37:51,ToiletFlush,UseToilet
25/02/2008 9:37:55,ToiletFlush,UseToilet
25/02/2008 9:37:58,HallBathroomDoor,UseToilet
25/02/2008 9:49:27,PlatesCupboard,PrepareBreakfast
25/02/2008 9:49:31,PlatesCupboard,PrepareBreakfast
25/02/2008 9:49:39,Fridge,PrepareBreakfast
25/02/2008 9:49:53,Fridge,PrepareBreakfast
25/02/2008 9:49:58,Microwave,PrepareBreakfast
25/02/2008 9:50:39,GroceriesCupboard,PrepareBreakfast
25/02/2008 9:52:11,Microwave,PrepareBreakfast
25/02/2008 9:53:22,GroceriesCupboard,PrepareBreakfast
25/02/2008 9:57:24,Dishwasher,None
25/02/2008 9:57:45,PlatesCupboard,None
25/02/2008 9:58:33,PansCupboard,None
25/02/2008 9:59:17,CupsCupboard,None
25/02/2008 10:00:00,PlatesCupboard,None
25/02/2008 10:02:31,HallToiletDoor,TakeShower
25/02/2008 10:10:15,HallToiletDoor,TakeShower
25/02/2008 10:10:20,HallToiletDoor,TakeShower
25/02/2008 10:19:28,Frontdoor,LeaveHouse
25/02/2008 16:54:37,Frontdoor,LeaveHouse
25/02/2008 16:59:04,Fridge,None
25/02/2008 16:59:14,GroceriesCupboard,None
25/02/2008 16:59:48,Fridge,None
25/02/2008 17:00:33,HallBathroomDoor,UseToilet
25/02/2008 17:01:22,ToiletFlush,UseToilet
25/02/2008 17:01:28,HallBathroomDoor,UseToilet
25/02/2008 17:17:39,PansCupboard,None
25/02/2008 17:17:43,PansCupboard,None
25/02/2008 17:17:49,PansCupboard,None
25/02/2008 17:19:38,Frontdoor,None
25/02/2008 17:22:48,PansCupboard,None
25/02/2008 17:55:01,Fridge,GetDrink
25/02/2008 17:55:06,Fridge,GetDrink
25/02/2008 17:55:08,CupsCupboard,GetDrink
25/02/2008 17:55:12,CupsCupboard,GetDrink
25/02/2008 17:55:15,CupsCupboard,GetDrink
25/02/2008 17:55:27,Fridge,GetDrink
25/02/2008 17:55:42,Fridge,GetDrink
25/02/2008 18:31:58,HallBathroomDoor,UseToilet
25/02/2008 18:32:08,HallBathroomDoor,UseToilet
25/02/2008 18:33:05,ToiletFlush,UseToilet
25/02/2008 18:33:33,HallBathroomDoor,UseToilet
25/02/2008 19:21:34,HallBedroomDoor,None
25/02/2008 19:21:39,HallBedroomDoor,None
25/02/2008 19:36:17,CupsCupboard,None
25/02/2008 19:40:27,GroceriesCupboard,PrepareDinner
25/02/2008 19:40:47,Fridge,PrepareDinner
25/02/2008 19:41:00,Fridge,PrepareDinner
25/02/2008 19:41:03,Fridge,PrepareDinner
25/02/2008 19:41:09,Fridge,PrepareDinner
25/02/2008 19:41:23,Fridge,PrepareDinner
25/02/2008 19:41:42,GroceriesCupboard,PrepareDinner
25/02/2008 19:47:03,Fridge,PrepareDinner
25/02/2008 19:54:10,PlatesCupboard,PrepareDinner
25/02/2008 19:56:00,PansCupboard,PrepareDinner
25/02/2008 19:56:03,PansCupboard,PrepareDinner
25/02/2008 19:56:20,CupsCupboard,PrepareDinner
25/02/2008 19:56:25,CupsCupboard,PrepareDinner
25/02/2008 19:57:19,Freezer,PrepareDinner
25/02/2008 20:00:33,Fridge,PrepareDinner
25/02/2008 20:00:50,Fridge,PrepareDinner
25/02/2008 20:01:46,Fridge,PrepareDinner
25/02/2008 20:01:56,PlatesCupboard,PrepareDinner
25/02/2008 20:04:20,Microwave,PrepareDinner
25/02/2008 20:04:46,Microwave,PrepareDinner
25/02/2008 20:10:44,Fridge,PrepareDinner
25/02/2008 20:18:03,Fridge,PrepareDinner
25/02/2008 20:19:49,PlatesCupboard,PrepareDinner
25/02/2008 20:20:29,Fridge,PrepareDinner
25/02/2008 20:23:14,Fridge,GetDrink
25/02/2008 20:23:32,Fridge,GetDrink
25/02/2008 21:08:49,HallToiletDoor,None
25/02/2008 21:08:51,HallToiletDoor,None
25/02/2008 21:45:40,Fridge,None
25/02/2008 21:51:32,HallBathroomDoor,UseToilet
25/02/2008 21:51:37,HallBathroomDoor,UseToilet
25/02/2008 21:52:08,ToiletFlush,UseToilet
25/02/2008 21:52:29,HallBathroomDoor,UseToilet
25/02/2008 21:54:46,Frontdoor,None
25/02/2008 21:55:35,PlatesCupboard,None
25/02/2008 21:56:02,Microwave,None
25/02/2008 21:59:02,Microwave,None
25/02/2008 23:05:57,Dishwasher,None
25/02/2008 23:06:02,Dishwasher,None
25/02/2008 23:11:41,PansCupboard,None
25/02/2008 23:19:08,Dishwasher,None
25/02/2008 23:21:24,HallBedroomDoor,None
25/02/2008 23:22:31,HallToiletDoor,None
25/02/2008 23:28:31,HallBathroomDoor,UseToilet
25/02/2008 23:28:36,HallBathroomDoor,UseToilet
25/02/2008 23:30:12,HallToiletDoor,None
